date,NULL,HFC,WIRELESS,FTTN,SATELLITE,FTTP,FTTB,FTTC
2023-05-23,0,0,0,0,0,0,0,0
2023-05-30,0,0,0,0,0,0,0,0
2023-06-06,0,0,0,0,0,0,0,0
2023-06-13,0,0,0,0,0,0,0,0
2023-06-20,0,0,0,0,0,0,0,0
2023-06-27,0,0,0,0,0,0,0,0
2023-07-04,0,0,0,0,0,0,0,0
2023-07-11,1,0,0,0,1937,0,0,0
2023-07-18,1,0,0,0,1937,0,0,0
2023-07-25,1,0,0,0,1937,0,0,0
2023-08-01,1,0,0,0,1937,0,0,0
2023-08-08,1,0,0,0,1937,0,0,0
2023-08-15,1,0,0,0,1990,0,0,0
2023-08-22,1,0,0,0,1990,0,0,0
2023-08-29,1,0,0,0,1990,0,0,0
2023-09-05,1,0,0,0,1991,0,0,0
2023-09-12,1,0,0,0,1991,0,0,0
2023-09-19,1,0,0,0,1991,0,0,0
2023-09-26,1,0,0,0,2102,0,0,0
2023-10-03,1,0,0,0,2102,0,0,0
2023-10-10,1,0,0,0,2102,0,0,0
2023-10-17,1,0,0,0,2103,0,0,0
2023-10-24,1,0,0,0,2103,0,0,0
2023-10-31,1,0,0,0,2105,0,0,0
2023-11-07,1,0,0,0,2105,0,0,0
2023-11-14,1,0,0,0,2105,0,0,0
2023-11-21,1,0,0,0,2107,0,0,0
2023-11-28,1,0,0,0,2107,0,0,0
2023-12-05,1,0,0,0,2107,0,0,0
2023-12-12,1,0,0,0,2108,0,0,0
2023-12-19,1,0,0,0,2108,0,0,0
2023-12-26,1,0,0,0,2108,0,0,0
2024-01-02,1,0,0,0,2108,0,0,0
2024-01-09,1,0,0,0,2108,0,0,0
2024-01-16,1,0,0,0,2108,0,0,0
2024-01-23,1,0,0,0,2108,0,0,0
2024-01-30,1,0,0,0,2112,0,0,0
2024-02-06,1,0,0,0,2112,0,0,0
2024-02-13,1,0,0,0,2112,0,0,0
2024-02-20,1,0,0,0,2112,0,0,0
2024-02-27,1,0,0,0,2112,0,0,0
2024-03-05,1,0,0,0,2112,0,0,0
2024-03-12,1,0,0,0,1931,0,0,0
2024-03-19,1,0,0,0,1931,0,0,0
2024-03-26,1,0,0,0,1931,0,0,0
2024-04-02,1,0,0,0,1930,0,0,0
2024-04-16,1,0,0,0,1930,0,0,0
2024-04-30,1,0,0,0,1935,0,0,0
2024-05-07,1,0,0,0,1935,0,0,0
2024-05-14,1,0,0,0,1937,0,0,0
2024-05-20,1,0,0,0,1937,0,0,0
2024-05-21,1,0,0,0,1937,0,0,0
2024-05-28,1,0,0,0,1937,0,0,0
2024-06-04,1,0,0,0,1937,0,0,0
2024-06-11,1,0,0,0,1937,0,0,0
2024-06-18,1,0,0,0,1937,0,0,0
2024-07-02,1,0,0,0,1939,0,0,0
2024-07-09,1,0,0,0,1939,0,0,0
2024-07-16,1,0,0,0,1939,0,0,0
2024-07-23,1,0,0,0,1939,0,0,0
2024-07-30,1,0,0,0,1939,0,0,0
